CTNM|CTNMEN|ADDRESS|CSNM|CTNT|ISLOCAL|CS|PHONE|FAX|SMS|EMAIL|CADDRESS|ECAS|CRATING|PARENTBRCA|BRCA|CPTC|TAXPAYER_TYPE|BASIC_AC_BANK|BASIC_AC|NATIONALTAXLIC|TAX_ADDRESS|RECEIVE_ADDRESS|IS_INVOICE|TYPE_INVOICE|STATUS|CITP_USCC|CONTACTOR|ZIPCODE|INV_FREQ|SWIFTCODE|LNCARDID|TAXFREECODE|RISHRANK|SYS_DATE|
中国农业银行股份有限公司|AGRICULTURAL BANK OF CHINA ||9000090|CHN|1|2107|||||中国广东省深圳市深圳市罗湖区深南东路5008号|||0606|0606||||||||||5|||||ABOCCNBJ|||1|20180702|
交通银行股份有限公司深圳分行|BANK OF COMMUNICATIONS SHENZHEN BRANCH||9000091|CHN|1|2107||||||||0606|0606||||||||||5|||||COMMCNSHSZN|||1|20180702|
中国工商银行平顶山分行|INDUSTRIAL AND COMMERCIAL BANK OF  CHINA PINGDINGSHAN BRANCH||9000092|CHN|1|2107||||||||0606|0606||||||||||5|||||ICBKCNBJHEN|||3|20180702|
合作金库商业银行股份有限公司苏州分行|TAIWAN COOPERATIVE BAMK||9000093|CHN|1|2124||||||||0606|0606||||||||||5|||||PACBCNBS|||3|20180702|
华夏银行股份有限公司|HUA XIA BANK||9000094|CHN|1|2108|||||中国北京市北京市北京市东城区建国门内大街22号华夏银行大厦|||0606|0606||||||||||5|||||HXBKCNBJXXX|||3|20180702|
中国人民银行深圳中心支行|PEOPLE 'S BANK OF CHINA SHENZHEN  SUB - BRANCH||9000095|CHN|1|2000||||||||0611|0611||||||||||5|||||PBOCCNBJSZ|||3|20180702|
星展银行（香港）有限公司|DBS BANK(HONG KONG) LIMITED||9000096|HKG|2|2124||||||||0606|0606||||||||||5|||||DHBKHKHH|||1|20180702|
国泰世华银行台中分行|CATHTY UNITED BANK||9000097|TWN|2|2124||||||||0606|0606||||||||||5|||||UWCBTWTP006|||1|20180702|
公司银行|CORPORATION BANK||9000098|IND|2|2122||||||||0606|0606||||||||||5|||||CORPINBB335|||1|20180702|
韩国首尔企业银行|INDUSTRIAL BANK OF KOREA||9000099|KOR|2|2122||||||||0606|0606||||||||||5|||||IBKOKRSE|||1|20180702|
NRB商业银行（总行）|NRB COMMERCIAL BANK LIMITED (PRINCIPAL BRANCH) DHAKA BD||9000100|BGD|2|2122||||||||0606|0606||||||||||5|||||RBBBDDHPRB|||1|20180702|
广发银行|CHINA GUANGFA BANK||9000101|CHN|1|2108||||||||0606|0606||||||||||5|||||GDBKCN22|||3|20180702|
平安银行|PINGAN BANK ||9000102|CHN|1|2108||||||||0606|0606||||||||||5|||||SZDBCNBS|||3|20180702|
中国农业银行苏州分行|AGRICULTURAL BANK OF CHINA THE SUZHOU BRANCH||9000103|CHN|1|2107||||||||0606|0606||||||||||5|||||ABOCCNBJ103|||1|20180702|
中国工商银行股份有限公司|INDUSTRIAL AND COMMERCIAL BANK OF CHINA||9000104|CHN|1|2107||||||||0606|0606||||||||||5|||||ICBKCNBJ|||3|20180702|
中国农业银行股份有限公司|AGRICULTURAL BANK OF CHINA||9000105|CHN|1|2107||||||||0606|0606||||||||||5|||||ABOCCNBJXXX|||1|20180702|
长江联合金融租赁有限公司|Yangtze United Financial Leasing Co., Ltd.|中国（上海）自由贸易试验区锦康路308号12楼|9000106|CHN|1|2154|||||中国境外境外其他上海自由贸易试验区锦康路308号12楼|||0606|0606||1|-|-||||N||1|913100003422088139|顾贤斌|20000|||3101150013647780|Z00|3|20180702|
中国信托商业银行新竹分行|CTBC BANK CO LTD (HSINCHU BRANCH)||9000108|TWN|2|2122||||||||0606|0606||||||||||5|||||CTCBTWTP299|||1|20180702|
上海商业储蓄银行|SHANGHAI COMMERCIAL AND SAVINGS BANK LTD.,THE TAIPEI TW||9000109|TWN|2|2122||||||||0606|0606||||||||||5|||||SCSBTWTPXXX|||1|20180702|
兆丰国际商业银行竹南科技公园分行|MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD ZHUNAN SCIENCE PARK BRANCH||9000110|TWN|2|2122||||||||0606|0606||||||||||5|||||ICBCTWTP075|||1|20180702|
大马银行（马来西亚）有限公司|AMBANK(MALAYSIA) BERHAD||9000111|MYS|2|2122||||||||0606|0606||||||||||5|||||ARBKMYKL|||1|20180702|
汇丰银行(中国)有限公司上海分行|HSBC BANK(CHINA)COMPANY LIMITED SHA||9000112|CHN|1|2301||||||||0606|0607||||||||||5|||||HSBCCNSHXXX|||3|20180702|
中国信托商业银行承德分行|CTBC BANK CO LTD (CHENGDE BRANCH)||9000113|TWN|2|2124||||||||0606|0607||||||||||5|||||CTCBTWTP624|||3|20180702|
台湾银行民权分行|BANK OF TAIWAN MINCHUAN BRANCH||9000114|TWN|2|2124||||||||0606|0607||||||||||5|||||BKTWTP046|||1|20180702|
台湾中小企业银行|TAIWAN BUSINESS BANK TAIPEI TW||9000115|TWN|2|2122||||||||0606|0607||||||||||5|||||MBBTTWTP|||1|20180702|
华南商业银行高雄分行|HUA NAN COMMERCIAL BANK LTD.,  KAOHSIUNG BRANCH||9000116|TWN|2|2302||||||||0606|0607||||||||||5|||||HNBKTWTP700|||1|20180702|
安泰商业银行|ENTIE COMMERCIAL BANK ||9000117|TWN|2|2122||||||||0606|0606||||||||||5|||||ENTITWTP|||1|20180702|
中国银行|BANK OF CHINA||9000118|CHN|1|2107||||||||0606|0606||||||||||5|||||BKCHCNBJ|||3|20180702|
中国邮政储蓄银行|POSTAL SAVINGS BANK OF CHINA||9000119|CHN|1|2109||||||||0606|0606||||||||||5|||||PSBCCNBJ|||3|20180702|
交通银行|BANK OF COMMUNICATIONS||9000120|CHN|1|2107||||||||0606|0606||||||||||5|||||COMMCNSH|||1|20180702|
中信银行|CHINA CITIC BANK||9000121|CHN|1|2108||||||||0606|0606||||||||||5|||||CIBKCNBJ|||3|20180702|
中国光大银行|CHINA EVERBRIGHT BANK||9000122|CHN|1|2108||||||||0606|0606||||||||||5|||||EVERCNBJ|||3|20180702|
上海银行|BANK OF SHANGHAI||9000123|CHN|1|2108||||||||0606|0606||||||||||5|||||BOSHCNSH|||3|20180702|
兴业银行|INDUSTRIAL BANK CO.,LTD.||9000124|CHN|1|2108||||||||0606|0606||||||||||5|||||FJIBCNBA|||3|20180702|
南京银行|BANK OF NANJING||9000125|CHN|1|2108||||||||0606|0606||||||||||5|||||NJCBCNBN|||3|20180702|
北京银行|BANK OF BEIJING||9000126|CHN|1|2108||||||||0606|0606||||||||||5|||||BJCNCNBJ|||3|20180702|
宁波银行|BANK OF NINGBO||9000127|CHN|1|2108||||||||0606|0606||||||||||5|||||BKNBCN2N|||3|20180702|
华夏银行|HUAXIA BANK||9000128|CHN|1|2108||||||||0606|0606||||||||||5|||||HXBKCNBJ|||3|20180702|
东莞银行|BANK OF DONGGUAN||9000129|CHN|1|2108||||||||0606|0606||||||||||5|||||DGCBCN22|||3|20180702|
渣打银行（中国）|STANDARD CHARTERED BANK||9000130|CHN|1|2123||||||||0606|0606||||||||||5|||||SCBLCNSX|||3|20180702|
汇丰银行（中国）|THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED||9000131|CHN|1|2123||||||||0606|0606||||||||||5|||||HSBCCNSH|||3|20180702|
花旗银行（中国）|CITIBANK||9000132|CHN|1|2123||||||||0606|0606||||||||||5|||||CITICNSX|||3|20180702|
德意志银行（中国）|DEUTSCHE BANK||9000133|CHN|1|2123||||||||0606|0606||||||||||5|||||DEUTCNBJ|||3|20180702|
联邦商业银行台北|UNION BANK OF TAIWAN TAIPEI TW||9000134|TWN|2|2122||||||||0606|0606||||||||||5|||||UBOTTWTP|||1|20180702|
马上消费金融股份有限公司|MaShang Consumer Finance Co.,Ltd.||9000135|CHN|1|2157||||||||0606|0606||||||||||5||||||||3|20180702|
摩根大通银行法兰克福|J.P.MORGAN AG, FRANKFURT||9000136|CHN|2|2302||||||||0606|0606||||||||||5|||||CHASDEFX|||3|20180702|
国泰世华银行 上海闵行支行|CATHAY UNITED BANK SHANGHAI  MINHANG SUB-BRANCH||9000607|CHN|1|7002|||||中国上海市上海市上海市闵行区虹许路528尼克互盛大楼1层|||0606|0606||||||||||4|||201103||UWCBCNSH607|||1|20180702|
国泰世华银行 上海自贸试验区支行|CATHAY UNITED BANK SHANGHAI  PILOT FREE TRADE ZONE SUB-BRANCH||9000609|CHN|1|7002|||||中国上海市上海市上海市加枫路26号713室|||0606|0606||||||||||4|||.||UWCBCNSH609|||1|20180702|
国泰世华商业银行股份有限公司上海嘉定支行筹备组|CATHAY UNITED BANK COMPANY LTD SH||9000613|CHN|1|2108|- -|- -|021-68863785||中国上海市上海市上海市东亚银行金融大厦花园石桥路66号1905室|||0606|0606||1|中国农业银行股份有限公司上海川陆家嘴支行|03399500040008696|310043566569941|||N||4||无|200120||UWCBCNSH613||Z15|3|20180702|
|Cathay United Bank - China||999994|CHN||7001||||||||0606|0606||||||||||5|||200120||||||20180702|
|Cathay United Bank - China||999999|CHN||7001||||||||0606|0606||||||||||5|||200120||||||20180702|
国泰世华银行(中国)有限公司上海分行|CATHAY UNITED BANK SHANGHAI BRANCH||9999999|CHN|1|7001|||||中国上海市上海市上海市浦东新区花园石桥路66号东亚银行金融大厦1905室|||0606|0606||||||||||5|||200120||UWCBCNSH|||1|20180702|
